location,iso3,year,pop_40plus_2025,diabetes_prev_2025,diabetes_pop_40plus_2025,statins_baseline_2025,statins_target_2030,prim_prev_ihd_2025,prim_prev_istroke_2025,prim_prev_total_2025,sec_prev_ihd_2025,sec_prev_istroke_2025,sec_prev_total_2025,total_eligible_2025
Belarus,BLR,2025,5003287,0.03990761,199669.22631407,0.0509151661891539,0.8,,,,,,,
Belgium,BEL,2025,6468633,0.05242879,339142.60114407,0.24505340672547,0.8,,,,,,,
Belize,BLZ,2025,129862.5,0.06151599,7988.620251375,0.0294634766818157,0.8,,,,,,,
Benin,BEN,2025,2964724,0.05950121,176404.66531604,0.00382038789765639,0.8,,,,,,,
Bermuda,,2025,39488.5,0.05010059,1978.397148215,,0.8,,,,,,,
Bhutan,BTN,2025,277521,0.05058126,14037.36185646,0.0155071304732331,0.8,,,,,,,
Bolivia,BOL,2025,3719000.5,0.04420923,164414.148474615,0.0262095776950441,0.8,,,,,,,
"Bonaire, Sint Eustatius and Saba",,2025,16473.5,,,,0.8,,,,,,,
Bosnia and Herzegovina,BIH,2025,1928277.5,0.0558334283333333,107662.343603029,0.0554405935633916,0.8,,,,,,,
Botswana,BWA,2025,616724.5,0.06790441,41878.313305045,0.0445121062565067,0.8,,,,,,,
Brazil,BRA,2025,95905246.5,0.03413936,3274143.73615224,0.0878048844036174,0.8,,,,,,,
British Virgin Islands,,2025,20299,,,,0.8,,,,,,,
Brunei Darussalam,,2025,189526,0.0558334283333333,10581.8863383033,0.264375911048171,0.8,,,,,,,
Bulgaria,BGR,2025,4010368,0.03113712,124871.30966016,0.0966235448866677,0.8,,,,,,,
Burkina Faso,BFA,2025,4552939,0.0558334283333333,254206.193362538,0.00226778645794532,0.8,,,,,,,
Burundi,BDI,2025,2601443,0.04949473,128757.71889539,0.00114898494462873,0.8,,,,,,,
Cabo Verde,,2025,179391.5,0.0558334283333333,10016.0424588592,0.0174694643185714,0.8,,,,,,,
Cambodia,KHM,2025,5685082.5,0.05808347,330209.318836275,0.00960853538063215,0.8,,,,,,,
Cameroon,CMR,2025,5851715.5,0.05543118,324367.49518929,0.00436471940632225,0.8,,,,,,,
Canada,CAN,2025,21538324.5,0.02882527,620848.019060115,0.334990260630531,0.8,,,,,,,
Cayman Islands,,2025,38872.5,,,,0.8,,,,,,,
Central African Republic,CAF,2025,704841.5,0.0558334283333333,39353.7173766092,0.000880408580641274,0.8,,,,,,,
Chad,TCD,2025,3405266.5,0.05508555,187580.978049075,0.00350392249725317,0.8,,,,,,,
Chile,CHL,2025,9595237.5,0.03725454,357466.15925325,0.128700842034261,0.8,,,,,,,
China,CHN,2025,754230835.5,0.05307748,40032672.0866345,0.0473740224926868,0.8,,,,,,,
"China, Hong Kong SAR",,2025,4796551,,,,0.8,,,,,,,
"China, Macao SAR",,2025,383312.5,,,,0.8,,,,,,,
Colombia,COL,2025,22045006,0.04597772,1013579.11326632,0.0655226268663826,0.8,,,,,,,
Comoros,COM,2025,218763.5,0.05450849,11924.468052115,0.00264900960918051,0.8,,,,,,,
Congo,COG,2025,1453504,0.06881073,100016.67129792,0.00892217870101258,0.8,,,,,,,
Costa Rica,CRI,2025,2339604,0.0558334283333333,130628.11226238,0.118160063210835,0.8,,,,,,,
Croatia,HRV,2025,2309994,0.03267434,75477.52935396,0.122828973194062,0.8,,,,,,,
Cuba,CUB,2025,6064093.5,0.04968567,301298.548490145,0.0510739497810273,0.8,,,,,,,
Curaçao,,2025,94487.5,,,,0.8,,,,,,,
Cyprus,CYP,2025,701870,0.05381747,37772.8676689,0.162315762103732,0.8,,,,,,,
Czechia,,2025,6156487,0.0558334283333333,343737.775699598,0.216587548686411,0.8,,,,,,,
Democratic People's Republic of Korea,,2025,12748419.5,0.0558334283333333,711787.966516519,0.00637159219098522,0.8,,,,,,,
Democratic Republic of the Congo,COD,2025,19800589,0.0558334283333333,1105534.76688929,0.00154931749217298,0.8,,,,,,,
Denmark,DNK,2025,3228449,0.07137469,230429.54655581,0.118147508915629,0.8,,,,,,,
Djibouti,DJI,2025,351501.5,0.05327696,18726.93135544,0.00586895909590365,0.8,,,,,,,
Dominica,,2025,31209.5,0.06490471,2025.643546745,0.0399724542716513,0.8,,,,,,,
Dominican Republic,DOM,2025,4081536,0.0558334283333333,227886.14774592,0.0663953342884195,0.8,,,,,,,
Ecuador,ECU,2025,6642415.5,0.04156042,276061.57799451,0.0468178642803522,0.8,,,,,,,
Egypt,EGY,2025,35439193,0.05661779,2006488.78704347,0.0363742958219868,0.8,,,,,,,
El Salvador,SLV,2025,2136394.5,0.0558334283333333,119282.229207478,0.048622298702432,0.8,,,,,,,
Equatorial Guinea,GNQ,2025,489776,0.0558334283333333,27345.8731953867,0.0535309300106724,0.8,,,,,,,
Eritrea,ERI,2025,765852,0.05067279,38807.85756708,0.00263028743077847,0.8,,,,,,,
Estonia,EST,2025,766935,0.04548973,34887.66607755,0.0904674340352253,0.8,,,,,,,
Eswatini,,2025,310081.5,0.0558334283333333,17312.9132077425,0.0198671404721061,0.8,,,,,,,
Ethiopia,ETH,2025,26754603,0.04297474,1149772.10772822,0.00170965634108229,0.8,,,,,,,
Falkland Islands (Malvinas),,2025,1996.5,,,,0.8,,,,,,,
Faroe Islands,,2025,27343.5,,,,0.8,,,,,,,
Fiji,FJI,2025,325235.5,0.11751815,38221.074274325,0.0225507694336919,0.8,,,,,,,
Finland,FIN,2025,3194602.5,0.06657956,212695.2288249,0.199484704092392,0.8,,,,,,,
France,FRA,2025,36719655.5,0.03832682,1407347.62681051,0.197591634048168,0.8,,,,,,,
French Guiana,,2025,105590,,,,0.8,,,,,,,
Gabon,GAB,2025,666764,0.07210025,48073.851091,0.0331088847312382,0.8,,,,,,,
Gambia,,2025,556971,0.0558334283333333,31097.600412245,0.00323919939242312,0.8,,,,,,,
Georgia,GEO,2025,1863449.5,0.04984711,92887.572205945,0.0428997677008024,0.8,,,,,,,
Germany,DEU,2025,50088373.5,0.043474,2177541.949539,0.283391700659162,0.8,,,,,,,
Ghana,GHA,2025,8759675.5,0.06102699,534576.629141745,0.0100513096925116,0.8,,,,,,,
Gibraltar,,2025,20493,,,,0.8,,,,,,,
Greece,GRC,2025,6185650.5,0.05438813,336425.963528565,0.172290991574715,0.8,,,,,,,
Greenland,,2025,25307,0.02861108,724.06060156,,0.8,,,,,,,
